ID,Area,Feature,User Story,Expected Behavior,Code Refs,Status,Test Notes
CORE-03,Core,Scrollback ring buffer,"As a user, I want history retained",Ring buffer up to 10K rows; eviction only on primary viewport scroll; copyScrollback range retrieval,core grid.zig Scrollback/copyScrollback,PARTIAL,"BUG-29 deferred (rare url_id wraparound, documented)"
CORE-04,Core,UTF-8 incremental decoder,"As the terminal, I want correct Unicode from a byte stream",WHATWG decoder: rejects overlong/surrogate/out-of-range -> U+FFFD; reconsumes offending bytes so stream can't desync,core utf8.zig Decoder,Pass,verified static
CORE-05,Core,Alt screen + mouse/paste/kitty modes,"As a TUI, I want alt-screen and mode flags tracked",DECSET 1047/1048/1049 alt screen; 1000/1002/1003/1006/1015 mouse bits; 2004 bracketed paste; kitty CSI u stack,core grid.zig switchScreen/setMouseModeBit/kittyKeyboard,Pass,verified static
CORE-06,Core,Length-prefixed TCP transport,"As the protocol, I want framed messages",u32 BE length + payload (<=16MB); readExact/writeAll; TCP_NODELAY + SO_NOSIGPIPE; clean EOF=PeerClosed vs truncation,core transport.zig,Pass,verified static
CORE-07,Core,Session accept/reader threads,"As a host, I want concurrent peer I/O",initHost accept loop thread + per-peer reader threads pushing to inbound FIFO; broadcast/sendTo; peer_connected/disconnected events; dropPeer,core session.zig,Pass,verified static
CORE-08,Core,Wire protocol frames,"As the app, I want tagged messages",32 tags: pty_output/input_op/input_commit/fs_delta/snapshot/cursor_pos/hello/mode_change/roster/heartbeat/access_mode/editor_*/tab_*/kick; symmetric encode/decode big-endian,core frame.zig,Pass,verified static
CORE-09,Core,RGA CRDT sequence,"As shared text, I want conflict-free convergence","RGA items (id,after,codepoint,deleted); tiebreak by greaterThan(clock,client); idempotent apply; snapshot export/import w/ stable ids; toUtf8; anchor by id",core crdt.zig,Pass,BUG-28 fixed & re-verified
CORE-10,Core,Bore tunnel supervisor,"As a host, I want a public tunnel managed",start forks bore/ngrok w/ args (bore local <port> --to <server> [--secret] or ngrok tcp); non-blocking pump parses 'listening at host:port'; stop SIGTERM+reap,core bore.zig,Pass,verified static
CORE-11,Core,C ABI error reporting,"As the Swift layer, I want diagnostics after failures",setLastError formats into 256-byte buf under mutex; ct_last_error copies to caller,core lib.zig setLastError/ct_last_error,Pass,verified static
,,,,,,,
BUG LOG (Phase 2 findings),,,,,,,
BugID,Severity,Type,Affects,Title,Evidence,Status,Fix Summary
BUG-01,High,Logistical,EDITOR-05 EDITOR-02,Prettier format desyncs live session,formatWithPrettier -> editor.replaceText() loads new CRDT snapshot locally with NO op broadcast (ContentView.swift:1590); peers' open editor keeps old doc and diverges permanently,Fixed,Broadcast a doc-reset (editorOpen w/ new snapshot) to peers in replaceText path
BUG-02,High,Logistical,EDITOR-05 EDITOR-08,replaceText leaves stale undo/redo stacks,EditorController.replaceText (728-735) calls loadSnapshot (new CRDT ids) but never clears undo/redoStack; later Cmd+Z references dead ids and no-ops,Fixed,Clear undo/redo stacks in replaceText
BUG-03,Medium,Security,SESS-02 SESS-05,Peer joins unencrypted when key missing/malformed,"joinFromURL/promptJoin set sessionKey = nil when k= absent/undecodable then connect (ContentView.swift:1919,1845); host always encrypts -> garbled session, fail-closed E2E violated, no user error",Fixed,Refuse join + show error when key absent/invalid
BUG-04,Medium,Security,SESS-05,Decrypt auth failure swallowed,"drainFrames catches ChaChaPoly.open auth failure as generic decode error, sets lastError, keeps polling (SessionManager.swift:755-766); session stays running, no signal",Fixed,Detect repeated auth failures and tear down with user notice
BUG-05,Medium,Logistical,SESS-08 SESS-11,Kicked peer re-admitted on reconnect,"kickPeer keeps no ban list; kicked peer's handleDisconnected enters reconnect; host re-adds on next Hello (SessionManager.swift:512-530,894-900)",Fixed,Maintain kicked-identity set; reject banned Hello
BUG-06,Medium,Logistical,PANE-01 PANE-02,Split menu items not disabled in raw mode,App.swift:77-87 disabled predicate omits isRawMode though story requires it; split spawned over alt-screen TUI,Fixed,Add isRawMode to split disabled predicate + splitActivePane guard
BUG-07,Medium,UX,TAB-01,New Tab enabled for peers (silent no-op),App.swift:37-38 New Tab has no .disabled; openNewTab guards role==host and returns silently for peers; also enabled while editor open,Fixed,.disabled(role != .host) on New Tab
BUG-08,Medium,Logistical,TAB-02 TAB-06,Last pinned tab cannot be closed/ended,closeTab pin-guard beeps+returns before last-tab end-session logic (ContentView.swift:946-971); single pinned tab can never end session via Cmd+W; no close affordance,Fixed,When pinned tab is last, end session or notice
BUG-09,Medium,Logistical,APP-03,Clear Screen clears wrong pane,clearScreen always clears tab.grid primary pane regardless of activePaneIndex (ContentView.swift:1435-1450),Fixed,Target activeGrid/focused pane
BUG-10,Medium,Logistical,SEARCH-01 SEARCH-02 PANE-05,Find never searches split pane,"SplitPaneView passes searchMatches only to primary pane (hard-coded [] for secondary, 126-127); scan uses tab.grid always (84-87)",Fixed,Scan/highlight focused pane grid
BUG-11,Medium,Logistical,TERM-03 PANE-04,Menu Paste always targets primary pane,"menuPaste calls handlePaste with default paneIndex 0, ignores activeTab.activePaneIndex (ContentView.swift:1489-1507)",Fixed,Pass activePaneIndex from menuPaste
BUG-12,Medium,Logistical,SI-09 APP-02,Placeholder/paste counters not reset on endSession,endSession never clears pasteCounter/imageDropCounter/activePlaceholder (ContentView.swift:844-883); stale placeholder can delete phantom bytes next session,Fixed,Reset these in endSession
BUG-13,Medium,Logistical,EDITOR-08,Undo of typed-over selection loses selection,"insertText captures selBefore AFTER deleteSelection nulled the anchor (EditorController.swift:374,480); undo lands collapsed caret",Fixed,Capture caretBefore/selBefore before deleteSelection
BUG-14,Low,UX,TAB-02,Close Tab enabled for peers (silent no-op),"App.swift:40-42 disables only on tabs.isEmpty; closeTab guards role==host, peer Cmd+W no-ops with no feedback",Fixed,.disabled(role != .host)
BUG-15,Low,UX,TERM-02,Drag-select copy keeps trailing spaces on last row,selectedText trims trailing spaces only for r != end.row; final row appended untrimmed (MetalTerminalView.swift:609-614),Fixed,Trim final row too
BUG-16,Low,Logistical,THEME-05,Theme library watch dies if dir deleted/recreated,startWatching early-returns if fsSource != nil; on dir delete/rename the fd is stale and never re-armed (ThemeLibrary.swift:58-79),Fixed,Cancel + re-arm source on delete/rename
BUG-17,Low,UX,TERM-06,OSC8 Cmd+click uses clamped coords (dead-zone links),mouseDown uses cellAt which clamps w/o inside check (MetalTerminalView.swift:274-279); clicks in corner-inset/right-edge open last cell's URL,Fixed,Use gridCell(for:) and bail if !inside
BUG-18,Low,UX,TERM-06,Link underline lags Cmd press/release,underline gated on global NSEvent.modifierFlags (TerminalRenderer.swift:438); flagsChanged doesn't bump renderer redraw so underline updates only on next unrelated redraw,Fixed,Bump redraw on flagsChanged
BUG-19,Low,UX,AC-01,Autocomplete resurfaces on remote edits,"recomputeAutocomplete called from shared refreshText, fires on remote ops (EditorController.swift:262,812)",Fixed,Only recompute from local-intent path
BUG-20,Low,UX,AC-01 AC-02,Cmd+A / drag-select don't dismiss autocomplete,"MetalEditorView Cmd+A (125-130) and selectRange set state directly, never dismiss popover",Fixed,Dismiss autocomplete on selection change
BUG-21,Low,Logistical,APP-05 THEME-02,HexColorField isValid dead/contradictory,App.swift:499-502 assigns isValid twice; forces false even for empty/in-progress field -> flashes red while typing,Fixed,Single meaningful assignment; treat empty as neutral
BUG-22,Low,Logistical,APP-06,Config inline comments require literal space-hash,ConfigFile.swift:88 splits on ' #' only; quoted values / '#'-adjacent mishandled,Fixed,Quote-aware comment strip
BUG-23,Low,UX,APP-01,Choose Folder disabled while running but impl supports it,App.swift:46-48 disables on running; pickProjectFolder re-activates jail+respawns at new root (ContentView.swift:802-807) = dead functionality,Fixed,Remove disable or remove running branch
BUG-24,Low,UX,THEME-07,Font Increase bound to '+' only (shifted on US),App.swift:136 binds '+' not '='; inconsistent with macOS terminal idiom + menu glyph,Fixed,Bind '=' (and/or '+')
BUG-25,Low,UX,TERM-07,Legacy mouse apps get no reporting,shouldReportMouse requires sgrMouse/DECSET1006 (MetalTerminalView.swift:256-263); apps using only 1000/1002 get nothing,Deferred,Synthesize legacy X10 encoding or document limit
BUG-26,Low,UX,EDITOR-09 EDITOR-12,Editor vertical movement ignores soft-wrap,"moveVertical/lineStart/lineEnd split only on \n (EditorController.swift:656-692); Up/Down jump whole wrapped lines, preserve source col not visual col",Deferred,Compute vertical motion in wrapped-grid space
BUG-27,Low,Logic,CORE-02,ECH cursor_x+n u16 overflow corner,grid.zig:718-722 computes cursor_x + n in u16; large params can wrap before @min,Fixed,Widen to u32 before @min
BUG-28,Low,Protocol,CORE-09,CRDT snapshot rejects surrogate while apply sanitizes,"loadEncodedSnapshot rejects invalid codepoint (crdt.zig:268-280) but apply sanitizes to U+FFFD; asymmetric, hostile snapshot fails join",Fixed,sanitizeCodepoint on snapshot store
BUG-29,Low,Logic,CORE-03 TERM-06,OSC8 url_id wraparound aliasing,>255 distinct links recycle url_id; on-screen cells with recycled id report wrong URL (grid.zig:312-318),Deferred,Track generation or clear cell url_ids on recycle
BUG-30,Low,Logic,CORE-01,pty.kill leaks zombie if Thread.spawn fails,pty.zig:77-81 fallback WNOHANG returns immediately; child not yet exited never reaped,Fixed,Loop WNOHANG or blocking waitpid fallback
BUG-31,Low,Logistical,BUILD,Vestigial SwiftTerm dependency,"TerminalHost.swift imports SwiftTerm but is referenced nowhere; whole SwiftTerm SPM package still pulled into build (project.yml:9,53)",Fixed,Delete TerminalHost.swift + SwiftTerm package dep
BUG-32,Low,UX,EDITOR-05,Prettier silent on nil-URL and non-127 failures,formatWithPrettier returns silently on resolveEditorURL nil and on generic non-zero exit; only exit 127 notifies (ContentView.swift:1571-1595),Fixed,postTerminalNotice on nil-URL and generic failure
BUG-33,Low,UX,EDITOR-05,"Prettier notices swallowed while editor open","postTerminalNotice early-returns when activeEditor != nil (ContentView.swift:4147); BUG-32's format notices only fire with an editor open so they never displayed",Fixed,Fall back to showSessionNotification toast when editor is open
BUG-34,High,UX,TERM-09 SESS-01,"Scroll-back impossible in shared sessions / with claude (view snapped to bottom)",GridModel.feed reset scrollOffsetRows=0 on every PTY feed; async output (peer commands relayed via tabPtyOutput; claude streaming/status repaints) snapped the view to the live bottom instantly so users were stuck,Fixed,Follow tail only when already at it; while scrolled back grow offset by scrollback growth so viewed rows stay stationary; local typing still snaps via scrollToBottom
BUG-35,Medium,UX,TERM-07 TERM-09,Mouse wheel dead in alt-screen TUIs (claude/vim) with Mouse Mode toggle off,scrollWheel only reported to the app when mouseModeEnabled; in alt-screen grid.scroll declines so the wheel was a silent no-op — claude chat could not be wheel-scrolled,Fixed,When grid has nothing to scroll (alt-screen) and app requested SGR mouse reporting report wheel to app regardless of the toggle (toggle keeps gating clicks for selection)
BUG-36,High,Logic,SESS-01 TERM-17,"TUI apps (claude/codex) render garbled on peers — no host↔peer grid-size sync","Host PTY+grid sized to the host window (handleResize); peer grids sized to the peer's own window (makePeerTab defaults / handleResize); no frame carries cols/rows (tabOpen is id+title only). TUIs paint with absolute cursor addressing for the host's geometry, so any size difference wraps/interleaves rows on the peer. Reproduced 2026-07-03 live (host 860px vs peer 800px window): host clean, peer banner duplicated+corrupted. Scrolling still works (BUG-35 wheel routing sends SGR to the host's claude). Related: encodeTerminalSnapshot omits modes (DECSET 1049/mouse), so joining mid-TUI also garbles until the app fully repaints",Fixed,"hostGridSize frame (0x24): host broadcasts cols/rows on resize + sends to each joiner before tab snapshots; peer grids pinned via GridModel.remotelySized (view resizing skipped; renderer draws visible intersection with grid-cols stride); join snapshot replays alt-screen + mouse DECSETs; verified live in 2-user session with claude at mismatched window sizes incl. mid-session host resize"
